k,gamma
689,-0.18830704890486563
690,-0.18841392803263884
691,-0.18558095444653927
692,-0.19208151349338753
693,-0.1978686794092282
694,-0.1985280053473291
695,-0.1993361013933445
696,-0.19809560221190017
697,-0.19586024840067945
698,-0.19467099719504485
699,-0.19419619342983702
700,-0.19312486794332479
701,-0.19134590433474893
702,-0.18869402388482343
703,-0.1859387737087748
704,-0.18835474336416358
705,-0.18987912247516267
706,-0.19242098677441963
707,-0.19145282990767573
708,-0.18902498572792756
709,-0.18866554860974905
710,-0.18606441530926954
711,-0.1835622662929106
712,-0.18077018350805085
713,-0.17823073344720655
714,-0.17568672397169827
715,-0.17293179956343105
716,-0.17065588323476719
717,-0.16964061792011256
718,-0.16697717679541846
719,-0.16703041638435595
720,-0.1692305766930556
721,-0.16771207787114287
722,-0.1659372336846051
723,-0.1674422347010165
724,-0.16848163443938674
725,-0.16645797373135143
726,-0.1651630430427854
727,-0.1627919510739584
728,-0.16013653658137644
729,-0.15964191384633872
730,-0.16102058693893606
731,-0.15871862775996345
732,-0.17087848476222026
733,-0.16993774253221877
734,-0.16737347962538798
735,-0.16506118029256686
736,-0.16604413159106285
737,-0.17145137687851786
738,-0.1693211062504463
739,-0.17852320887642004
740,-0.17684394734712647
741,-0.17499730319566092
742,-0.17351714312356548
743,-0.17375645287733335
744,-0.1845878572422484
745,-0.18477193042833667
746,-0.18217029747203445
747,-0.180869975177345
748,-0.18463903026020823
749,-0.18235989098273622
750,-0.18727722125902846
751,-0.1850653988332802
752,-0.18331645280226994
753,-0.18095412749447157
754,-0.17831042793177945
755,-0.17563233514146367
756,-0.17670433205437197
757,-0.17582451193823978
758,-0.1752249005971371
759,-0.1741058331734773
760,-0.1735221290929853
761,-0.17437648854371604
762,-0.1730708920985749
763,-0.17188964433804974
764,-0.17229881752275664
765,-0.17111049039728363
766,-0.16967086269804266
767,-0.17305352204794444
768,-0.17204108835804027
769,-0.17196464529423358
770,-0.17277607394210737
771,-0.17341132991633884
772,-0.17480993043739138
773,-0.17453903648301836
774,-0.1724564950455018
775,-0.17120258506852348
776,-0.16973172359884034
777,-0.1699483981215939
778,-0.16776133678424016
779,-0.16557142402010463
780,-0.1700185145005281
781,-0.17412952472778334
782,-0.175958816288328
783,-0.1765874518747353
784,-0.17772049087913303
785,-0.1759476598401656
786,-0.17339163995645848
787,-0.1714350288994418
788,-0.17004662178919563
789,-0.16954598467262308
790,-0.16726114958476485
791,-0.16589018868943226
792,-0.16605433702700123
793,-0.16356126038745572
794,-0.16128781385643504
795,-0.16373831376572925
796,-0.16763800828013362
797,-0.16746377595874612
798,-0.16809428044016875
799,-0.17256827525636184
800,-0.17501445744259897
801,-0.17380232651531463
802,-0.1716683082206885
803,-0.1694790765013209
804,-0.1690124849073812
805,-0.16841468197089207
806,-0.16844171517812176
807,-0.16602266405173827
808,-0.167156536138862
809,-0.16567272064259259
810,-0.16502986944995715
811,-0.16715346028116956
812,-0.1656529917057734
813,-0.1673229506143619
814,-0.16488617610572073
815,-0.16376864002333652
816,-0.1634916604843633
817,-0.16324554006336597
818,-0.1609480540766536
819,-0.1596238404352769
820,-0.15912324293841218
821,-0.15684222688283644
822,-0.15643849468858456
823,-0.1553394351824987
824,-0.15381892904458788
825,-0.1597994428404753
826,-0.16199200990938514
827,-0.15984074883838345
828,-0.15749960473865804
829,-0.15750711525380304
830,-0.15559308715343595
831,-0.15384662951641737
832,-0.1535129207839711
833,-0.15289123667955143
834,-0.1507692995438173
835,-0.14918204565708826
836,-0.15026210347688332
837,-0.1546472484137375
838,-0.15345480192610578
839,-0.15597146773271192
840,-0.15407121945484414
841,-0.15569559472477634
842,-0.15704745481886992
843,-0.15588746677010437
844,-0.15365025768811785
845,-0.15226717275315338
846,-0.1529875983606065
847,-0.15314451890104455
848,-0.15575681666363916
849,-0.1537288706427265
850,-0.1524143651215767
851,-0.1505431980894492
852,-0.14849050419395718
853,-0.15079443597578618
854,-0.1527766823700542
855,-0.15308848023819074
856,-0.15385650485596136
857,-0.1541184081992303
858,-0.15207390976681698
859,-0.15010329156823543
860,-0.1517772754458753
861,-0.15011993704325968
862,-0.15229866044133078
863,-0.15056867767458623
864,-0.1488797929827405
865,-0.15101445977950775
866,-0.14977429804831502
867,-0.15155958720519008
868,-0.15131796744239429
869,-0.14993230939450894
870,-0.15144102508104773
871,-0.1501302727540967
872,-0.14862237585166382
